,Type_appart,Surface m²,Price €,Localisation,Date Post,Description
10,meublee appartement ,47m,1750,Paris 3E,/  06 septembre 2019,"Appartement de 2 pièces - meublé  - 47 m² - Paris 3e - métro Arts et Métiers / Temple / République - 2e étage sans ascenseur - double exposition séjour Nord-Est et chambre Sud-Est (sur cour) - Beaux volumes : 3m20 de hauteur sous plafond, 2 mezzanines de rangement, entrée, salle de bains, wc à part, couloir, chambre, salon et cuisine à l'américaine (cuisine équipée : réfrigérateur, plaques électriques, four, lave-linge, lave-vaisselle). Rangements, dressing, bibliothèque. Chauffage électrique. Matériaux bruts : tomettes anciennes, parquet ancien, bois. Literie neuve. Ambiance : mélange de vintage et de contemporain.
Premier contact par mail avec présentation.
Loyer : 1750 € charges comprises
Disponible à partir du 15 septembre."
11,meublee appartement ,130m,4800,Paris 6E,/  06 septembre 2019,"Très bel appartement haussmannien avec moulure au 1er étage entièrement refait neuf meublé avec meubles anciens et literie neuve.

Isolation phonique neuves de toutes les fenêtres au maximum, aucun bruit de la rue!
2 belles salle de bain dont 1 avec baignoire.
Grande cuisine tout équipée avec table pour déjeuner.

Air conditionnée
Chauffage et eau chaude individuel.


Loyer : 4800 € charges comprises"
12,meublee appartement ,44m,1870,Paris 8E,/  06 septembre 2019,"2 pièces au 8 rue Balzac, 3ème étage (2 ascenseurs) à 100 m des Champs Elysées et à proximité de l'Arc de Triomphe, lumineux et calme, adresse recherchée.
Immeuble Art Déco (avec gardienne), 44 m², 2 petits balcons, belle hauteur sous plafond, parquet, double vitrage avec volets métalliques, chauffage collectif.
Entrée avec 3 grands placards à miroirs, salle de bains avec douche et fenêtre, cuisine séparée entièrement équipée (+ lave-linge séchant) avec fenêtre, espace salon, chambre avec coin bureau.
Le tout meublé et refait à neuf.
Loyer : 1.870 €/mois dont 180 € provision charges.
Dépôt de garantie 3.380 euros.
Libre immédiatement. Location meublée un an minimum.
Merci appeler le fixe du lundi au vendredi de 10h00 à 18h00 ou le portable 7 jours sur 7 en dehors de ces horaires.
Loyer : 1870 € charges comprises"
13,meublee studio ,43m,1500,Paris 13E,/  06 septembre 2019,"À partir du 15 novembre, Place d'Italie. Grand studio, meublé 43 m², lumineux, très belle vue sur Paris, sans vis-à-vis.
Entrée, dressing, séjour, salle à manger/bureau, cuisine, salle d'eau-douche italienne - wc.
Lave vaisselle, table induction, four encastré, micro-ondes, réfrigérateur, congélateur, lave linge séchant, TV, rangements.
Internet - Wifi.
Ascenseur. Gardien, Digicode.
Bail mobilité de 1 à 10 mois.

Université. Commerces. Centre commercial Italie 2.
Métro - Lignes : 5, 6, 7  -  Bus - Lignes : 27, 47, 57, 64, 67, 83.

Loyer : 1500 € charges comprises."
14,appartement ,42m,1700,Paris 14E,/  06 septembre 2019,"A quelques pas de Montparnasse !!!
Métro Edgar Quinet. Beau 2 pièces de 42 m². Proche de tous commerces précisément au 18-20, boulevard Edgar Quinet, à 5mn de la station métro Edgar Quinet. Entièrement meublé et équipé, lumineux au 2ème étage avec ascenseur, immeuble sécurisé (digicode, gardienne). Comprenant : Entrée, cuisine américaine toute équipée, séjour, salle d' eau avec douche à l'italienne, wc, chambre (nombreux placards/rangements). Cave. Eau chaude / froide et chauffage collectif inclus dans les charges.
Loyer : 1700E/mois charges comprises (internet compris)

Libre fin septembre"
15,meublee appartement ,76m,2750,Paris 14E,/  06 septembre 2019,"(English version below). Appartement. Alésia. Entièrement refait à neuf et remeublé.

Il se trouve à deux pas de la place d'Alésia et non loin de la place Denfert Rochereau, du parc Montsouris et de la Cité universitaire internationale.

L'appartement est de type haussmannien : parquet, moulures et cheminées dans chaque pièce. Toutes les fenêtres sont en double vitrage.

Il compte 4 pièces : 2 grandes chambres, 1 séjour et 1 salle à manger.
Appartement d'angle très lumineux, 3e étage, exposé plein sud. Toutes les pièces donnent sur rue.

L'appartement comprend une cuisine entièrement équipée (frigo, plaques, four, four micro-ondes, lave vaisselle), une salle de bain avec baignoire et lave linge et des wc  séparés.
L'immeuble dispose d'une courette où il est possible de mettre sa poussette ou un vélo.  Il n'y a pas d'ascenseur pour le moment.

Le quartier est commerçant mais calme: nombreux commerces de bouches, rue d'Alésia commerçante, librairie etc.

English version:  we rent our newly refurbished and refurnished flat located in Paris.The flat is ideally located in the 14th district of Paris, nearby the Place d'Alesia.
Our flat comprises 2 bedrooms with beds for four people in total, 1 bathroom (with a bath), 1 toilets, 1 fully equipped kitchen, 1 living room and 1 dining room.
The flat is 76 squared meters (c. 818 squared feet).

The flat is at the third floor (no lift for the moment, only stairs) of a building of Paris from the late 19th / early 20th century. The flat is oriented to the South which brings a lot of light all over the day (and a nice sunset view from the living room).
The flat has just been fully restored and refurnished (end of July 2019)!
The flat has been mainly refurnished with design pieces of furniture.

All the windows in the flat are double glazed. The kitchen and bathroom are fully equipped with : a fridge, oven, microwave, dish machine and washing machine.
Loyer : 2750 € charges comprises."
16,meublee studio ,15m,980,Paris 16E,/  06 septembre 2019,"Studio de 15 m² dans un immeuble de grand standing sur l'avenue Victor Hugo
Studio meublé, très éclairé, commerces à proximité
7ème étage avec ascenseur
Proche métro rue de la pompe ligne 9
Proche grandes écoles ISG, fac Dauphine

Loyer : 980 €/mois charges comprises."
17,meublee studio ,17m,-1,Paris 18E,/  06 septembre 2019,"Métro Guy Môquet.

Studio meublé 17 m² réservé aux étudiants, dans résidence de charme entièrement rénovée en 2012, sur rue pavée et arborée. Entièrement équipé, calme et très lumineux, prestations et literie de qualité : salle de bains indépendante avec wc, cuisine intégrée, vaisselle fournie, télévision écran plat, accès internet et téléphonie gratuite inclus.
Cet appartement est situé à deux pas du métro et de rue très animée et commerçante.

Bail étudiant(e).

Loyer : 790 €/mois + 60 € charges."
18,studio ,18m,675,Paris 17E,/  06 septembre 2019,"Quartier Batignolles. Rue Dulong.

Studio 18 m² au 2e avec ascenseur sur rue (volets métalliques et double vitrage).

Entrée avec une penderie, pièce principale avec 2 coins cuisine. Salle d'eau refaite à neuf (lavabo, douche, wc, branchement lave-linge.
Immeuble année 1930, gardienne , interphone.

A 8mn à pied du métro Villiers ou Rome.

Merci de nous indiquer votre situation (CDD, CDI, stages..) la durée de location souhaitée.
Visites ce week-end pour une signature de bail au plus tard mercredi .
Exposition Ouest.

Charges : eau chaude et chauffage collective.

Loyer : 615 €/mois + 60 € charges."
19,meublee appartement ,66m,2500,Paris ,/  06 septembre 2019,"Métro Jasmin.

Élégant duplex meublé, 66 m² + 15 m² terrasse privative sur le toit, au dernier étage d'un immeuble art déco (ascenseur et gardien). Grand salon avec 4 fenêtres sans vrai vis-à-vis, cuisine équipée américaine haut de gamme.

Entièrement équipé (télévision écran plat, lave-linge/sèche-linge). Ensoleillé et avec vues sur Tour Eiffel et jardins.

Quartier calme et avec tous les services.

Loyer charges comprises."
20,meublee appartement ,32m,1200,Paris ,/  06 septembre 2019,"Rue du Docteur Heulin.

Beau 2 pièces meublé : entrée, belle cuisine bien meublée, grand débarras, salon avec télévision, chambre beau parquet, belle salle d'eau. Au 4e étage . Refait à neuf. Bon immeuble. Calme, sécurité, ensoleillé.

Bonne situation. Double exposition.

Loyer 1200 €/mois charges comprises."
21,appartement ,63m,1710,Paris 15E,/  06 septembre 2019,"Rue du Théâtre.
Immeuble pierre de taille, 2e étage sans ascenseur.

3 pièces : entrée avec placard, cuisine semi équipée (éléments de cuisine, plan de travail, plaques de cuisson), séjour, 2 chambres.
Toutes les pièces sont desservies par l'entrée, beaucoup de charme, parquet, moulure, Chauffage individuel au gaz. Cave.

Loyer : 1.630 €/mois + 80 € charges."
22,meublee appartement ,43m,1580,Paris 15E,/  06 septembre 2019,"Appartement traversant de 43 m², meublé, bien situé à proximité de la rue du Commerce, dans le 15ème entre les métros Commerce et Félix Faure.
Quartier vivant près des commerces, écoles et transports.

Cave.
2ème étage sans ascenseur.  Chauffage individuel électrique. Parquet.
Petite copropriété bien entretenue.
2 pièces donnent sur cour, et une sur rue.

Location meublée: un lit double, une banquette clic-clac,  armoires, table
Petite cuisine équipée: frigo, plaques électriques, micro-ondes, machine à laver.

Loyer charges comprises."
23,meublee appartement ,34m,1300,Paris 15E,/  06 septembre 2019,"A deux pas du métro Boucicaut, quartier très commerçant et vivant.

Appartement 2 pièces, très calme et clair au 3ème étage dans un immeuble de pierre de taille, avec ascenseur, digicode, interphone, gardien.

Parquet en chêne, fenêtres double vitrage. Une chambre avec un lit de 160 (draps et couette fournis), armoire penderie et rangements, petit bureau . Un séjour composé d'un canapé, table de séjour avec chaises, tables basses gigognes, téléviseur, lecteur DVD, mini chaîne audio, équipement internet, étagères. Salle de douche avec lavabo et wc à extracteur, étagère, tapis de bain.

Cuisine entièrement équipée : réfrigérateur/congélateur, four micro-ondes, four électrique, plaques induction, lave linge/sèche linge, nombreux rangements, vaisselles, couverts et électro ménager fournis, ainsi que tout pour l'étendage et le repassage.
Eau chaude et chauffage individuels électrique.

Cet appartement convient parfaitement à un (e) célibataire ou un couple . .
Pas de colocation.
Loyer charges comprises."
24,meublee studio ,16m,1050,Paris 8E,/  06 septembre 2019,"Emplacement d'exception, pied-à-terre proche de l'Étoile. Immeuble haussmannien de standing, studio de 16 m² au 5e et dernier étage avec ascenseur. Refait à neuf, espace optimisé, charme, lumière, hauteur sous plafond, poutres apparentes, œil de bœuf et lumière zénithale avec double vitrage, vue Arc de triomphe et tour Eiffel. Équipement haut de gamme, cuisine ouverte, salle de douche séparée avec vrai wc, lave-linge encastré, placards.

Disponible 01/07/19.
Loyer : 1000 €/mois + charges 50E/mois incluant eau et chauffage."
25,meublee studio ,30m,1180,Paris 11E,/  06 septembre 2019,"Quartier animé Bastille/Roquette, proche de toutes commodités, métros voltaire ou bastille.
Dans un immeuble sécurisé (digicode + interphone) et bien entretenu, au 4e étage sans ascenseur.
Beau studio meublé de 30m², excellent état, comprenant :
Une petite entrée avec rangements intégrés
Une cuisine équipée (réfrigérateur, congélateur, plaques électriques, hotte, four, ustensiles de cuisson, vaisselle…) ouverte sur le séjour.
Un séjour agréable, calme (côté cour) et lumineux (sud-est)
Un coin nuit séparé, avec rangements intégrés. Literie, couette, oreillers, linge de lit neufs.
Une salle d'eau en très bon état, avec douche italienne, wc, lavabo, lave-linge.

Loyer : 1.180€/mois charges comprises. Bail meublé d'un an renouvelable. 2 mois de caution.

Prévoir dossier complet lors de la visite (pièce d'identité, avis d'impôt, trois dernières fiches de paye, contrat de travail, attestation d'employeur, dernière quittance de loyer), garants demandés."
26,meublee appartement ,70m,1889,Paris 16E,/  06 septembre 2019,"
					Possibilité colocation				"
27,meublee appartement ,38m,1500,Paris 16E,/  06 septembre 2019,"Bel appartement entièrement meublé situé à quelques minutes du métro Victor Hugo, calme et clair, au rez-de-chaussée d'un immeuble Haussmannien dans une rue privée.

Une entrée privée et discrète dessert l'appartement qui comporte salon, chambre, cuisine indépendante, wc séparé, salle de douche séparée, terrasse privative de 2,5m. Chauffage individuel au gaz.
Confort et très bon état.
Disponible immédiatement.
Loyer : 1500 € charges comprises"
28,appartement ,44m,1240,Paris ,/  06 septembre 2019,"A proximité immédiate de la place de Tocqueville, des stations de métro Villiers etMalesherbes ainsi que de  la ligne L (La Défense-St Lazare).
Situé au 1er étage d'un petit immeuble rénové de 3 étages, 2 pièces de 44 m² avec belle hauteur sous plafond, parquet, double vitrage et radiateurs thermostatiques.
L'appartement se compose d'un grand séjour, avec 2 grandes fenêtres allant du sol au plafond, d'une chambre, d'une cuisine équipée (plaques de cuisson, réfrigérateur et placards), d'une salle de bains/wc avec baignoire.
Il se situe à 2 mn à pied du marché de la rue de Lévis, entre les parcs Monceau, Martin Luther-King et square des Batignolles.
Loyer 1.240 €/mois + 150 € de charges mensuelles (incluant chauffage, eau chaude et froide).
Libre immédiatement."
29,meublee appartement ,28m,1150,Paris 5E,/  06 septembre 2019,"Au calme rue Mouffetard. T1 entièrement meublé (studio + cuisine dans laquelle on prend ses repas), au 6e et dernier étage sans ascenseur avec vue dégagée sur les vieux toits parisiens et l'église Saint-Médard. Comprenant 1 entrée avec placard, un séjour (meublé dé 2 lits d'une personne pouvant être joints), une grande penderie placard, un bureau, des rangements, fauteuil, une salle d'eau wc avec douche lavabo, lave-linge séchant, une cuisine dans laquelle on prend ses repas, avec réfrigérateur, plaques vitrocéramiques, four multi-fonction, lave-vaisselle, table, sièges, rangements et toute la vaisselle nécessaire. Très calme, personne au-dessus, et donnant sur un jardin intérieur. 2 digicodes. A 100 mètres du métro ligne 7.
Loyer charges collectives et eau comprises.

Loyer : 1150 €/mois charges comprises."
30,meublee studio ,30m,1110,Paris 12E,/  06 septembre 2019,"Appartement standing, belle vue, tout confort, meublé de 30 m² + 6 m² de terrasse. Exposition Sud Est au 5ème étage d'une résidence très bien entretenue avec gardien, interphone, deux digicodes, deux ascenseurs.

Meublé, entièrement équipé, télévision, micro-onde, four, machine à laver. lave vaisselle, Frigo, grand lit, canapé d'angle...
Il comprend : entrée avec de grands placards pour le rangement, penderie, grande salle de bains, cuisine séparée et équipée.
Séjour de 20 m², un bel espace, bien aménagé, volets électriques, chauffage collectif, compris dans les charges.
Calme, aéré, lumineux, propre, très agréable, avec une belle baie vitrée, et une terrasse qui offre une vue panoramique sur jardin.

Quartier animé, bien desservi par les transports : RER A, métro lignes 6, 1, 2, 8, 9.
 Idéalement situé sur le boulevard de Picpus à Nation, à côté de Gare de Lyon, Gare de Bercy, la Bastille, proche du Tram T3.
A quelques pas de la promenade plantée. Belle prestation de qualité avec toutes les commodités, transports et commerces.

Coup de cœur :

Les atouts de cet appartement.

Son confort et son aménagement agréable et pratique.
En espace ouvert  offrant un bien-être et tranquillité, pour profiter de chez soi.
Baie vitrée et une terrasse, avec une vue panoramique sur jardin au calme.
Sa localisation à côté de Nation,  la gare de Lyon, la gare de Bercy et la Bastille.
Un quartier  agréable, à quelques pas de la Promenade plantée.
La Coulée verte,un espace vert idéal pour la promenade , le sport et la relaxation.

Libre le 1er septembre 2019.
Loyer : 1110 € + charges 130 €"
31,meublee appartement ,69m,1830,Paris 15E,/  06 septembre 2019,"Métro Boucicaut, proche rue Saint Charles.

Dans un immeuble de bon standing avec gardien, au 4e étage ascenseur, 3 pièces, double séjour, 1 chambres, 69 m², impeccable.
Entrée avec dégagement aménageable, hauteur sous plafond de 2,90 m, moulures, salon et salle à manger avec portes fenêtre (double vitrage) et cheminée et balconnet (possibilité chambre), cuisine équipée et aménagée avec lave-linge, chambre sur cour, salle de bains avec fenêtre et wc séparés.
Parquet chêne, carrelage dans les pièces d'eau. Cave.
Chauffage individuel électrique. Photos sur demande.

Visite sur rendez vous avec dossier complet. Garanties demandées.
Photos par SMS sur demande. Immédiat.

Libre de suite

Loyer 1.830 € /mois dont 200 € provision de charges."
32,appartement ,51m,1450,Paris 20E,/  06 septembre 2019,"Appartement T2 situé dans un immeuble récent (mars 2012), avec ascenseur, 5ème étage , rue des Pyrénées, artère tranquille bordée d'arbres anciens.

Tous commerces et services à proximité immédiate, métro Gambetta à 6 mn, métro Maraichers à 8 mn. Proche parc du bois de Vincennes.
Accès par ascenseur sécurisé et garage sous l'immeuble, télécommande, badge d'ouverture et audiophone.

Séjour vitré de 25,93 m² avec parquet bois, cuisine de 3,79 m² à demi séparée du séjour, chambre parquet bois de 12,31 m², salle de bains moderne de 5,45 m², balcon de 2,77m2, cave de 2,51 m² au  sous-sol.

L'appartement est muni de stores télécommandés, d'une ventilation automatique et de prises électriques, numériques, de convecteurs électriques et d'un ballon d'eau chaude.

Appartement peu énergivore.
La salle de bains est équipée d'un meuble évier, d'une baignoire, d'un sèche- serviettes, d'un sol en céramique  et de toilettes. Local à poubelles au rez-de-chaussée, garage à vélos important.
Les provisions pour charges sont de 72€/mois + 18€/mois de TOM = 90€/mois

L'appartement est loué de préférence avec sa place de garage au 1er sous sol, accessible par ascenseur sécurisé ( + 120 €/mois, 10 € de charges, sous location autorisée ).
Conditions contractuelles : versement 1 mois de caution, loyer payable d'avance par virement au 30 du mois précédent.
Dossier : cartes d'identité, avis d'impôt 2019, 3 dernières feuilles de salaire, attestation de loyers acquittés du précédent logeur ; 2 cautions solidaires"
33,meublee studio ,38m,1200,Paris 20E,/  06 septembre 2019,"Métro Pelleport - 75020 Paris.
Très lumineux, calme et vue dégagée.

Studio meublé 38 mètres carré. Au 2ème étage avec ascenseur, dans une résidence sécurisée (gardien, digicode). 1 belle pièce à vivre spacieuse offrant un très beau volume avec baies vitrées donnant sur grand balcon avec vue dégagée, exposition sud ouest.

L'appartement est très lumineux, calme, orientation Sud Ouest, avec grand balcon sans vis à vis. Entrée avec placards de rangements.

Cuisine américaine équipée avec un comptoir bar sur le séjour.
Cuisinière- Four- Plaques de cuisson - Hotte- Vaisselle et batterie de cuisine. Lave-vaisselle, Lave-Linge. Tabourets bar. Réfrigérateur, congélateur et lit neufs.
Salle de bain, baignoire bien agencée avec WC.

Proche toutes commodités.

Chauffage collectif gaz.

Loyer charges comprises (incluant le chauffage) : 1200 euros
Disponible au 1er septembre 2019.
Caution, dossier et garants demandés."
34,appartement ,49m,1600,Paris 16E,/  06 septembre 2019,"Proche Place Victor Hugo.
Appartement F2 au 3ème étage avec ascenseur, exposition Nord, sur cour arboré, super calme.
Il comprend : entrée desservant : double séjour de 22 m², chambre 12 m², cuisine séparée, refaite neuve, salle d'eau avec box douche (neuf aussi) et wc et petit bonus machine à laver. Il y a une cave.
Immeuble avec digicode et gardienne."
35,meublee appartement ,60m,1650,Paris 11E,/  06 septembre 2019,"Très bel appartement de 3 pièces au 5ème étage (sans ascenseur) d'un immeuble haussmannien en pierre de taille en plein coeur de Paris 11. Métro Belleville (lignes 2 et 11).
Commerces, écoles et transport en bas de l'immeuble.
Location meublée.

Appartement donnant sur cour et sur rue. Du soleil toute la journée. Copropriété calme.
Disponible à partir du 01 octobre 2019.
Visites uniquement sur RDV à partir du lundi 9 septembre de 18h à 19h30.
Visites également le samedi de 10h à 12h."
36,meublee studio ,15m,795,Paris ,/  06 septembre 2019,"Studio meublé 15+3 m² - Marais Enfants-Rouges.

Marais/Filles du Calvaire. Beau studio meublé, très fonctionnel et très lumineux, tomettes, cuisine aménagée et équipée (frigo, micro-ondes, plaque, etc), pièce principale + mezzanine (1m95 hauteur sous mezzanine), lit 140x200 cm, multiples rangements, salle douche, wc sur palier (partagé entre 2 studios).

Entièrement rénové. 6ème sans ascenseur. Surface 15 m² + 3 m², sous combles.
Bail meublé 1 an,
Loyer 775 €/mois + 20 € charges hors électricité. Caution 775 €.

Dossier complet à présenter lors de la visite.

Loyer : 795 € charges comprises"
37,meublee appartement ,38m,1400,Paris 13E,/  06 septembre 2019,"Métro place d'Italie ou Tolbiac.
2 pièces meublé environs 38 m².
Immeuble récent.
Ascenseur, chauffage central.
Tout confort, cuisine séparée, salle de bains, lave linge.
Possibilité TV, internet.
Polocation et courte durée possible."
38,meublee studio ,25m,795,Paris 20E,/  06 septembre 2019,"Métro Porte de Bagnolet.

Beau studio meublé très lumineux  entièrement refait à neuf,  au 4e étage, chauffage collectif par l'immeuble, quartier très agréable la Campagne à Paris, 25 m² environ : belle entrée, salle d'eau avec wc, séjour, cuisine indépendante, placards. Chauffage central collectif.

Très bien desservi par le tram et le métro .

Dossier complet demandé.

Libre de suite.

Loyer : 700 €/mois + 95 € de provision sur charges.

Visite sur place jeudi 5 septembre à partir de 18h, au 1 rue des Montiboeuf."
39,meublee appartement ,27m,950,Paris 18E,/  06 septembre 2019,"Deux pièces meublé, situé au 1er étage, dans un quartier calme et à 300 mètres du métro Guy Môquet. Garanties demandées.
Loyer : 950 €/mois charges comprises."
40,meublee appartement ,75m,2350,Paris 9E,/  06 septembre 2019,"Appartement meublé 75,5 m², entièrement rénové, au 2e étage avec ascenseur. Quartier Grands Boulevards, Drouot, proche d'Opéra et des gares (Est et Nord).

Chauffage individuel gaz. 2 chambres (20 et 17 m²), salon salle à manger (TV, cable, box). Poutres apparentes.
Cuisine équipée 10 m², matériel de grande qualité, lave-linge, sèche-linge, lave-vaisselle, fours, plaque induction etc., (Miele, Bosch...), salle de bains avec baignoire. Porte blindée.

Classe énergie C.
Loyer charges comprises sauf gaz, électricité. Dépôt de garantie et cautions sérieuses demandés. Visite sur Rendez-vous.
Libre au 1er septembre 2019."
