,Type_appart,Surface m²,Price €,Localisation,Date Post,Description
10,appartement ,79m,1.990,Paris 17E,/  13 septembre 2019,"Location vide.

Appartement 3 pièces de 79 m² environ au 2ème étage dans immeuble charmant et moderne de 2 étages avec cour intérieure, sécurisé interphone et digicode.

Entrée, séjour avec cuisine US aménagée de 40 m²; 2 chambres de 9,50 et 15 m², salle de bains avec double vasque lavabo et baignoire équipée douche, wc séparés, volumineux rangements. Très lumineux et calme, sol parquet, sans vis-à-vis, traversant salon orienté sud. Chauffage et eau chaude individuels, double vitrage partout, excellente isolation phonique et thermique, rue très peu passante.

Situé à moins de 5 min à pied des transports en commun (métro, bus et RER), des commerces, des écoles, d'un parc arboré de 6,5 ha et du square des Batignolles.

Cave et local vélos/poussettes inclus.

Libre au 1er octobre 2019.

Loyer mensuel : 1.910 € + 80 € provision charges.

Bonnes garanties requises."
11,meublee studio ,33m,1.320,Paris 14E,/  13 septembre 2019,"
					Grand studio moderne entre Montparnasse et Luxembourg.				"
12,appartement ,57m,1.520,Paris 16E,/  13 septembre 2019,"Appartement 2 pièces de 57 m², quartier Exelmans, 5e étage avec ascenseur, à 2 mn à pied du métro Exelmans.
Immeuble sécurisé, digicodes et gardien, avec jardin donnant sur rue calme.
2 pièces comprenant une entrée, un séjour/salle à manger, une chambre avec dressing, une cuisine entièrement équipée (four, plaques vitro, lave-vaisselle, meubles de rangement et plan de travail), une salle de bains avec baignoire, et wc séparés.

Parquet au sol, cave, eau et chauffage collectif inclus dans les charges.

Proche commerces, transports et écoles.

Disponible immédiatement.
Caution solidaire susceptible d'être demandée.
Loyer : 1.520 €/mois + 150 € charges.
Loyer : 1520 € + charges 150 €"
13,meublee appartement ,76m,2.900,Paris 16E,/  13 septembre 2019,"Très agréable appartement dans un bel immeuble haussemanien avec ascenseur. Refait à neuf et entièrement  meublé par décorateur .Proche toutes commerces et au pied du métro Mirabeau.
Comprenant une entrée avec débarrat, cuisine entièrement équipée ( lave Linge, lave vaisselle , four, micro-onde,frigo,vaisselles ,grille-pain...), grand salon , 2chambres .nombreux rangements .
Loyer: 2900 euros charges comprises. Libre de suite
Tel: 0632525332"
14,meublee appartement ,33m,1.590,Paris 5E,/  13 septembre 2019,"Quartier Latin / Les Gobelins  - 33m2.

Magnifique appartement au 5ème étage baigné de lumière avec vue sur le ciel. Cet appartement de 2 pièces de 33m2 loi Carrez aux prestations très haut de gamme a été entièrement repensé et refait à neuf par une architecte d'intérieur. Sur une rue très peu passante, le calme de l'appartement est absolu.

- Calme absolu
- 2 très grandes fenêtres et traversant qui laisse le ciel et le soleil rentré (exposition pleine Est) - Très lumineux
- Cuisine refaite à neuf, toute équipée - four, lave vaisselle, lave linge, frigo
- De très nombreux rangements à travers tout l'appartement dont une grande penderie dans la chambre
- Grande hauteur de plafond - 2.65m
- Aménagement haut de gamme refait à neuf par une architecte d'intérieur. Zéro perte de place.

Il se compose de :
une petite entrée avec un grand placard
un salon avec canapé convertible, table à manger et écran plat
une chambre avec nombreux rangement sur mesure et lit double, applique murale
une salle de bains avec douche à l'italienne, vasque, toilettes et lave-linge.

L'appartement est loué tout équipé et meublé avec des produits récents (achetés en Août). Vous n'avez qu'à poser vos bagages
- Grand Écran plat 110 cm, penderie, canapé, table basse, table de repas, applique, luminaire, lit double
- Cuisine moderne et tout équipé : lave-vaisselle, frigidaire, four/micro-ondes, vaisselle etc…
- Salle de bains tout confort : grande douche carrelée sur mesure, vasque, toilettes, lave-linge
- Sol plan avec parquet, plat et parfaitement isolant acoustiquement.
- Fenêtres, chauffage électrique, digicode.

Situation géographique idéale :
- Plein 5eme arrondissement entre Place Monge et les Gobelins
- 1 min à pied de la station les Gobelins - Ligne 7
- 5 min du Jardin des Plantes
- 7 min à pied de la rue Mouffetard.
À proximité de commerces et écoles (boucherie, boulangerie, Monoprix en bas).

Loyer : 1590 €/mois charges comprises."
15,meublee studio ,34m,1.250,Paris 15E,/  13 septembre 2019,"Studio de 34 m² avec pièce à vivre de 23 m². Très lumineux. Cuisine séparée, dinatoire et totalement équipée (frigo, plaques vitro, four, lave-vaisselle). Salle de bains avec lave-linge. Grand placard dans l'entrée. Grand balcon donnant sur jardin avec vue dégagée. Accès par l'immeuble à un club de sport privé ' Le Club 15 ' et réservé aux résidents. Gardien et Parking. Grande cave.
Chauffage collectif.

Disponible de suite.

Stations de métro: Volontaires, Plaisance, Vaugirard, Pasteur, Convention.
Lignes de bus: 62, 88, 89 et 95.

Loyer : 1.170 € /mois + 80 € de charges."
16,meublee appartement ,67m,2.390,Paris 20E,/  13 septembre 2019,"Quartier très commerçant.
Au 10ème et dernier étage Sud et Est, terrasse 47 m².

2 pièces meublées 67 m².
Peinture et parquet  refait à neuf.
Cuisine équipée, séjour 34 m², salle d'eau en marbre avec wc. Volets électriques.
Cave. Chauffage collectif.

Possibilité de parking au sous sol par ascenseur.
Location meublée.

Immeuble avec gardienne.
Libre de suite."
17,meublee appartement ,74m,2.370,Paris ,/  13 septembre 2019,"Bail meublé code civil (société ou hab.secondaire) exclusivement. Durée ferme mini 6 mois, 1 an souhaité.

(Triangle Vendôme / Opéra /Louvre). T3, 74 m²- , 3ème- Séjour, 2 chambres spacieuses, kitchen. équipée, bains marbre +sanitaires  qualité + wc + autre wc séparés, nombreux vitraux, meubles style parisien.
(Abonnements Électricité,/gaz)
(internet /cable non compris)

Conditions contractuelles à charge du preneur :
 - Taxes d'habitation  (2.535€) et d'ordure ménagère (320€)
- Entretien . annuel  chaud. gaz (130€)
- Restitution linge maison après nettoyage par professionnel
- Ménage final de sortie soigné requis (vitres, lustres, volets inclus).

Libre au 8 avril 2019
2 mois de garantie
Garantie bancaire ou paiement d'avance totalité loyers + 2 mois DG

Paris (first arrondissement) nearby Vendôme - Opéra - Tuileries - 3 room fully furbished apartement (Parisian-style furniture and decoration) - - Classic 1830 building - 3d-  - 3  points lock gateway - 74 sq.m (800 sq/ ft)- 1 living/dining room - 2 large bedrooms - (2 hight wind/room) -equipped kitchen - big bathroom marble with classic clawfoot tub and toilet - separate W.C.- marble fireplaces - moldings - stained glasses windows in livingroom, bathroom and kitchen -
(Electricity, gaz, d'habitation tax and taxes of household waste non included)
Annual maintenance of the gaz boiler required.
Final house linen cleaning out and ironing in laundry required for bed sheets,pillow cases and toilet towels -
Final soigné output household also required (chandeliers, windows and shutters included)
Available april 8th2019
Loyer : 2370 € charges comprises"
18,meublee studio ,25m,1.100,Paris 7E,/  13 septembre 2019,"Proche Louvres.
Rue Verneuil. Studio meublé de 25 m² plein sud au 3e étage.
Cuisine américaine.
Grande salle de bains avec wc.

Loyer 1100€/mois charges comprises.

01.47.70.25.97"
19,meublee appartement ,50m,1.600,Paris 14E,/  13 septembre 2019,"Dans un immeuble bourgeois du 14ème,  proche de la Place Denfert Rochereau, mais donnant sur jardin privé de l'immeuble,  exposition Sud Ouest, très calme,  lumineux et ensoleillé : un appartement de 2 pièces principales (Loi Carrez 50m2) : entrée, grand dressing, séjour-salon de 22m2, cuisine entièrement équipé (frigo-congélateur, lave-vaisselle, lave-linge, plaque halogène, hotte aspirante, four chaleur tournante, four micro-ondes, petit billot, (de nombreux placards hauts et bas),   chambre, salle de bains équipée (meuble avec vasque et rangement) water-closet séparé avec rangements,
Fenêtre chambre et grande baie du séjour-salon en pvc double vitrage de qualité, volet roulant électrique et store pour la baie du salon.
Parquet au sol, sauf pour les pièces d'eau : carrelage,
Chauffage central collectif urbain, compteur d'eau froide et chaude également, et ordures ménagères, le tout  compris dans les charges, et  concierge immeuble.
Compteur EDF individuel.
Fibre internet dans l'immeuble et sur le palier.
Desservi par la ligne C du RER - lignes 4 et 6 du métro - et nombreux bus 38 - 68 , 88
le tout à 5 minutes à pied du Jardin du Luxembourg, pour promenades, joggings, à 10 minutes à pied de Montparnasse des cinémas, restaurants et autres."
20,meublee studio ,25m,1.250,Paris 15E,/  13 septembre 2019,"
					METRO DUPLEIX - STUDIO ET JARDIN PRIVATIF TERRASSE				"
21,meublee appartement ,43m,1.435,Paris 16E,/  13 septembre 2019,"Paris 16ème. Beau 2 pièces meublé, 43 m². Avenue Paul Doumer. 5 mn à pied Trocadéro, Passy, La Muette. Immeuble de grand standing. Refait neuf.

Cuisine dînatoire moderne entièrement équipée (lave-linge, four, micro-ondes, plaques induction), grand séjour avec parquet acajou, canapé et rangements, chambre avec grands placards, salle de douche.

Immeuble de très grand standing avec gardien, digicode.

Calme, double vitrage. Hauteur sous plafond de 3.8 m. Disponibilité immédiate.

Rez-de-chaussée. Idéal pour musicien.

Charges comprises (chauffage et eau chaude collectifs).

Visites les mardis et jeudis de 8h30 à 11h pour personnes sérieuses accompagnées d'un dossier de location. Appellez Mme Carreira.
Agences s'abstenir."
22,appartement ,55m,2.100,Paris 16E,/  13 septembre 2019,"Paris 16éme Nord. Métro Rue de la Pompe.

Appartement 55 m² entièrement rénové au 5éme étage ascenseur. 2 chambres indépendantes, 1 salle de bain, Séjour avec cuisine ouverte et espace buanderie indépendant.
Charges de Chauffage collectif incluses

Disponible de suite.
Loyer charges comprises
Agence s'abstenir !!"
23,appartement ,45m,1.110,Paris 20E,/  13 septembre 2019,"F2 proche métro Gambetta, 45 m².

En très bon état (refait à neuf récemment), clair, 10ème étage, ascenseur : wc séparés, salle de bains avec baignoire, nombreux rangements, cuisine ouverte sur séjour, parquet.

Chauffage central. Libre de suite. Dossier complet exigé. Libre de suite.

Agences s'abstenir.

Loyer  1.110 €/mois provision charges comprise."
24,meublee studio ,26m,1.280,Paris 5E,/  13 septembre 2019,"Panthéon, Près Mouffetard et lycée Henri IV.

Petit 2 pièces (façon studio)  26 m², au 3e étage sans ascenseur.
Meublé, très équipé pour pied-à-terre, cadre en mission...
Exposition sud, double-vitrage, soleil.

Sectorisation lycée Henri IV (à 100 m) Vue dégagée.

Une pièce unique pour salon ou chambre, une pièce pour cuisine et coin repas. Une salle de bains avec wc. Entièrement équipé : mobilier, linge avec rechange, vaisselle, télévision, dvd, bureau, wifi.
Au 3e sans ascenseur.

Libre le 30 décembre 2019.
Loyer 1.280 €/mois totalité charges et TV TNT inclus (électricité et téléphone restent à charge locataire).

Idéal personne seule, cadre en mission, étudiant (colocation impossible, un seul couchage double en clic-clac Bultex).  Bail résidence non principale : location meublée soumise au droit civil, bail société pour personnel en stage ou mission, bail étudiant 9 mois, bail mobilité. Sérieuses garanties demandées."
25,meublee chambre ,10m,441,Paris 17E,/  13 septembre 2019,"Métro Wagram. Immeuble haussmannien.

Chambre meublée 10,38 m².
Au 6e étage sans ascenseur. Wc sur palier.
Refaite à neuf.

Indépendante, claire et calme. Douche, cuisinette, vraie fenêtre,

Réfrigérateur, plaque de cuisson, micro onde.

Porte blindée, double digicode, interphone.

Libre 1° Octobre 2019.
Idéal étudiant(e). Caution solidaire demandée.

Loyer : 441 €/mois
+ consommations d'électricité et d'eau.
Pas de charges de copropriété.

Pour l'électricité:
Remboursement de la consommation, abonnement et taxes diverses, sur présentation facture bimensuelle.
Pour l'eau:
Remboursement par vérification de la consommation au compteur tous les 6 mois . Prix du m3 de l'année ttc

Dépôt de garantie : 2 mois."
26,appartement ,33m,830,Paris 18E,/  13 septembre 2019,"Beau deux pièces de 33 m², très calme.
Grand séjour, chambre, cuisine indépendante, salle d'eau avec wc.

Rez-de-chaussée sur cour lumineux et en parfait état.

Visite sur place le jeudi 12 septembre à 18h au 32 rue Stephenson Paris 18ème, au métro Barbès.
Dossier complet demandé.

Loyer 830euros charges comprises."
27,meublee appartement ,46m,1.900,Paris ,/  13 septembre 2019,"Bastille, près Place, Opéra.
Dans rue calme, 2 pièces, de 46 m² (dont double-séjour 34 m²), meublé, très équipé (linge complet de lit, de toilette et de table, avec rechanges prévus, vaisselle, électroménager récent complet (lave-linge séchant, lave-vaisselle, congélateur, TV LED 108 cm 4KUHD, lecteur DVD, chaîne hi-fi, aspirateur, fer et table à repasser, sèche-cheveux, 2 cafetières dont une à capsules, toaster, bouilloire, four mobile halogène, four combiné micro-ondes...).

Une seule chambre équipée grand dressing et  couchage 2 personnes, literie haut de gamme. Double-séjour 34 m²  avec 2 canapés dont 1 convertible 160 x 200, mobilier complet design et industriel, espace repas, cuisine américaine entièrement équipée. salle de bains avec w-c. Poutres, soleil. Idéal stage, mutation, personnel société.

Uniquement bail soumis à droit civil (résidence non principale) ou bail mobilité (de 1 à 10 mois), ou bail étudiant 9 mois.
Colocation possible.  Au 3e étage sans ascenseur. Double digicode, cour arborée, gardien. 1.900 €/mois toutes charges comprises,  wifi inclus (hors EDF et Tél).
Sérieuses garanties demandées.
Contact par e-mail privilégié (en indiquant également un numéro de tel)..

Loyer : 1900 € /mois charges comprises."
28,meublee studio ,18m,780,Paris 11E,/  13 septembre 2019,"Studio meublé 18 m², 2ème étage (2 ascenseurs), 2 digicodes, balcon, 3 min à pied nation (RER, métro) tout confort : cuisine séparée équipée (plaques, réfrigérateur, placards), lave linge, canapé lit, armoire.
Studio clair (parquet, murs blancs, grande baie vitrée double vitrage).
Visites : dimanche 22 septembre 2019 à 14h. Venir avec dossier complet, au 15 Rue des Boulets 75 011 paris. caution sérieuse. Appart disponible à partir du 9 octobre 2019.
Idéal étudiant.
Loyer : 780 EUR/mois charges comprises"
29,meublee studio ,22m,1.097,Paris 15E,/  13 septembre 2019,"Rue Brancion. Studio meublé 22 m², récemment rénové, équipé et décoré, parfait état au 3ème étage sans ascenseur, vue ouest sur parc arboré. Clair. Toutes fenêtres double vitrage. Hauteur sous plafond 2.60m.

Dans pièce principale : clic-clac 140 x 200 (avec alèse, couette, oreiller), télévision écran plat et lecteur DVD, plan-bureau amovible 140 x 50 cm, 2 tabourets hauts et plan repas, sol en parquet.
Cuisine américaine : réfrigérateur, micro-ondes, plaque de cuisson vitrocéramique 2 feux, four électrique, lave-linge séchant, matériel de cuisine et service de table.  Fenêtre oscillo-battante.
Salle d'eau : lavabo, douche, wc, avec fenêtre et ballon électrique.
Entrée : Porte blindée serrure 5 points, grande armoire à glaces et 2 placards (contenant notamment aspirateur, bouilloire, cafetière électrique, fer et table à repasser, étendoir à linge, escabeau... ).
Divers : Chauffage et eau-chaude électriques. Fibre installée dans l'appartement (reste au locataire à prendre abonnement s'il le souhaite). Digicodes. Parties communes refaites en 2014. L'immeuble, situé en 2ème cour ne donne pas sur la rue mais sur le parc.
A côté de l'immeuble : Tramway station Brancion, métro Porte de Vanves, bus et commerces.
Loisirs très proches : Stade Ch. Rigoulot, Parc Georges Brassens, Theatre Le Monfort ...

Loyer : 1097 €/mois charges forfaitaires 100 euros incluses (hors électricité et eau privatives).
Dépôt de garantie : 1990 euros. Studio particulièrement adapté pour expatriés ou étudiants.
NB : possibilité d'assistance ponctuelle pour démarches administratives.

Sérieuses garanties demandées. Pas de colocation."
30,meublee studio ,18m,900,Paris 1Er,/  13 septembre 2019,"Studio meublé 18 m².
Dans immeuble 17ème standing rénové et sécurisé (interphone, vigicode), au 3ème étage sans ascenseur, calme, clair, sur rue.
Mobilier en pin : armoire-penderie, commode, bureau, table, bibliothèque.
Moquette (aspirateur).
Lit 90 cm, salle d'eau  / wc.
Cuisinette équipée (vaisselle, couverts, casseroles).

Idéal étudiant(e).

Loyer charges comprises : eau chaude, eau froide, chauffage collectif."
31,meublee appartement ,60m,1.890,Paris 13E,/  13 septembre 2019,"Métro Place d'Italie ou Gobelins.
2/3 pièces meublé, 60 m². Dans immeuble récent avec ascenseur.
Chauffage central.
Tout confort.
Cuisine équipée, salle de bains, toilettes séparées.
Possibilité parking.
Possibilité Internet.
Lave-linge, télévision.
Colocation et courte durée possible.
1.890E/mois + charges."
32,meublee studio ,12m,575,Paris 16E,/  13 septembre 2019,"Métro Muette, rue du Conseiller Collignon à 10mn à pied de Janson de Sailly
Studette équipée et meublée, 11,50 m², au 3ème étage, ascenseur, gardien, code d'entrée extérieure, badge d'entrée.
Réfrigérateur, plaque électrique, douche et lavabo à l'intérieur.
Eau chaude et chauffage collectif, par l'immeuble.
1 wc avec fermeture à clé + 1 wc avec lavabo + 1 douche sur le palier d'étage.
Pour une personne seule, de préférence étudiant(e).

Loyer charges comprises. Caution parentale et 2 mois de dépôt de garantie demandée.
Loyer : 575 €/mois charges comprises"
33,meublee studio ,14m,675,Paris 16E,/  13 septembre 2019,"Proche lycée Janson de Sailly,  université Dauphine.

Studio meublé au rez-de-chaussée, lumineux avec cuisinette, douche, wc, rangements, chauffage électrique.

Métro Pompe, Bus 63, 52, PC, RER C.

Caution et dépôt de garantie demandés.  Préférence étudiant(e).
Libre immédiatement.
Loyer : 650 €/mois + 25 € charges."
34,meublee studio ,10m,485,Paris 16E,/  13 septembre 2019,"Angle avenue de Versailles et rue Wilhem. A 3mn à pied de IUT Descartes avenue de Versailles.

Studette 10 m², au 2ème étage, par escalier principal, équipée et meublée, cuisinette avec 2 plaques électriques, réfrigérateur, évier inox avec égouttoir, cabine de douche à l'intérieur.
Eau chaude et chauffage collectif sont inclus dans les charges forfaitaires.

Lit avec sommier à latte et matelas à ressort, placard avec penderie et tiroirs, bureau, étagères muraux, meublée jusqu'à les petites cuillères. wc et une cabine de douche commune, sur le palier d'étage pour 5 studettes. Pour personne seule, de préférence étudiant(e).

Loyer 485 €/mois charges forfaitaire comprise. Caution parentale et dépôt de garantie de 2 mois demandés."
35,studio ,20m,890,Paris 17E,/  13 septembre 2019,"Studio 20m2, Paris 17ème, entre Porte Maillot et Porte de Champerret, proche commerces et transports. 4ème étage avec ascenseur, bel immeuble avec interphone, digicode et gardienne. Pièce à vivre, cuisine équipée, salle d'eau avec wc.
Loyer 890 €/mois charges et chauffage collectif compris.

Visites sur place le 21 septembre au 6 rue Émile Allez Paris 17 ème."
36,meublee studio ,23m,900,Paris 7E,/  13 septembre 2019,"Rue Exposition.
Studio 23 m² au 3e, sur cour, calme, clair.
Refait à neuf, meublé : cuisine équipée, micro-ondes, canapé-lit, lave-linge, fenêtres double-vitrage, salle de bains, rangements, parquet, chauffage
électrique, télévision. Porte blindée, digicode.

Garanties et caution demandées. Location longue durée
. Libre 4 octobre.
Loyer charges comprises."
37,appartement ,40m,1.150,Paris 17E,/  13 septembre 2019,"2 pièces lumineux 40m2 au 2e étage avec ascenseur dans un immeuble calme avec digicode et interphone.
Entrée, salon, 1 chambre, cuisine et salle de bain wc avec sèche-serviettes. Chauffage et eau chaude électrique. Double vitrage. Placards penderie entrée et chambre.

Métro ligne 13 arrêt Guy Moquet.
A proximité de l'avenue de Saint Ouen et de nombreux commerces.

Disponible de suite.

Loyer : 1150 euros/mois charges comprises (hors électricité)
1 mois de caution.
Les revenus doivent représentés 3 fois le loyer."
38,meublee studio ,20m,900,Paris 13E,/  13 septembre 2019,"Métro Nationale.
Studio de 20 m² au 23ème étage dans immeuble récent, refait à neuf, avec balcon et vue panoramique sur la Tour Eiffel.
Entrée, placard, salle de bains avec wc, séjour avec cuisinette (2 plaques électriques, réfrigérateur, micro-ondes, lave linge), clic-clac.
Vide ordure, ascenseur, digicode, gardien 24h/24, calme, lumineux et ensoleillé + cave.

Idéal pour étudiant avec garantie parentale.

Garantie solide exigée.

Loyer : 900 €/mois charges comprises (chauffage et eau chaude compris)."
39,meublee studio ,26m,1.090,Paris 6E,/  13 septembre 2019,"Odéon. Très bel immeuble haussmannien. Au 1er étage sans ascenseur.
Grand studio meublé de 28 m². Très belle hauteur sous-plafond. deux grandes fenêtres sur rue. Lumineux, très calme, salle d'eau ,wc séparés. Cuisine américaine équipée.

Bon état.

Loyer : 1090 €/mois charges comprises.

Possibilité courte durée et autres locations.

Disponible de suite."
